N,rho,lambda2_mean,lambda2_std
10,0.001,8.252635248169197,1.6452447775086476
10,0.0014384498882876629,7.823199356551903,1.7584346854290207
10,0.00206913808111479,7.0955331432690345,1.8487071611669605
10,0.002976351441631319,5.337864911696229,1.834540603261417
10,0.004281332398719396,2.3253646806416546,1.2642476231447668
10,0.006158482110660267,1.383331856776147,1.0054429739389057
10,0.008858667904100823,1.223183794590201,0.9522795826231556
10,0.012742749857031334,1.2988324192389957,0.9750814077110426
10,0.018329807108324356,1.581802827360346,1.087798589893076
10,0.026366508987303583,2.0306261581204628,1.1976052091635287
10,0.0379269019073225,2.63958868261844,1.3771034965391988
10,0.05455594781168517,3.3876803134698967,1.5697992951871016
10,0.07847599703514611,4.228439643102383,1.6690061372198162
10,0.11288378916846883,5.023998220257153,1.7977337959220125
10,0.1623776739188721,5.7728556801122775,1.8589886358684324
10,0.23357214690901212,6.400698727223023,1.8572323293126358
10,0.3359818286283781,6.829689909077013,1.8523325728303601
10,0.4832930238571752,7.166029198860311,1.8509160067809713
10,0.6951927961775606,7.343527606518988,1.8274464695686943
10,1.0,7.485885115093915,1.819473397272607
20,0.001,15.53152728391522,2.0110070483077958
20,0.0014384498882876629,14.753414086758614,2.1020073598786366
20,0.00206913808111479,13.332123763433122,2.115005399257592
20,0.002976351441631319,10.183712475800894,2.140400037532744
20,0.004281332398719396,4.848470447070332,1.5846218466985733
20,0.006158482110660267,3.117387909835736,1.2418901941149718
20,0.008858667904100823,2.7392518119176312,1.1488100302242816
20,0.012742749857031334,2.9428483232475537,1.20765588361539
20,0.018329807108324356,3.466411394876712,1.3335621030186837
20,0.026366508987303583,4.32295972904518,1.4823248392727673
20,0.0379269019073225,5.437201323581472,1.6629821485012313
20,0.05455594781168517,6.781915938013752,1.8136363046881236
20,0.07847599703514611,8.202720209956397,1.9918554975343485
20,0.11288378916846883,9.672054886747011,2.1288299237470567
20,0.1623776739188721,10.965749780498125,2.178726312846055
20,0.23357214690901212,12.075945960088852,2.1583835330926178
20,0.3359818286283781,12.905902287540146,2.1324065529429372
20,0.4832930238571752,13.488968137486271,2.134179232125719
20,0.6951927961775606,13.933117334720672,2.0886700203440465
20,1.0,14.188783613496643,2.1061401521651675
30,0.001,23.09510392914713,2.24254716507025
30,0.0014384498882876629,22.041542822053277,2.3212406370047525
30,0.00206913808111479,19.97637189610172,2.4301759210521925
30,0.002976351441631319,15.258103835201414,2.452711984920257
30,0.004281332398719396,7.415443300604355,1.8067940376444749
30,0.006158482110660267,4.86229822323462,1.3616853908750353
30,0.008858667904100823,4.349369391723532,1.2358761119115147
30,0.012742749857031334,4.619298873394952,1.3047229793965187
30,0.018329807108324356,5.378964167193752,1.4572886590345944
30,0.026366508987303583,6.620211670883231,1.6885492229160521
30,0.0379269019073225,8.25205307745425,1.90002130886049
30,0.05455594781168517,10.176130809433747,2.127184256580107
30,0.07847599703514611,12.314618125105637,2.3250016983440362
30,0.11288378916846883,14.480050060817327,2.376409190348928
30,0.1623776739188721,16.479106531287144,2.477532516853487
30,0.23357214690901212,18.05704334540944,2.501854169790703
30,0.3359818286283781,19.260217244177205,2.4556250550570575
30,0.4832930238571752,20.187078797026572,2.419962317146798
30,0.6951927961775606,20.845862729789854,2.3479721674676015
30,1.0,21.24636508283826,2.3570111074932583
