N,js_ref_db,lambda2_mean,lambda2_std,connected_fraction,worst_rho,link_range_m
10,-30.0,8.769987382999677,1.4633971769031733,1.0,0.001142026234517333,1014.1943094993011
10,-29.0,8.748475637151172,1.484457691770598,1.0,0.0014255187443375991,1011.4684890442235
10,-28.0,8.70985342151624,1.5036065435006178,1.0,0.0017752921140283204,1008.0061842037928
10,-27.0,8.622098365818958,1.5222326892615958,1.0,0.0022043578004448043,1003.5973161417506
10,-26.0,8.547168380931332,1.5455130850421723,1.0,0.002726676252918209,997.9645574871035
10,-25.0,8.454959400889694,1.581816444205061,1.0,0.0033559914206304836,990.7367514603147
10,-24.0,8.3400466253129,1.6112380484293258,1.0,0.004103527308303818,981.4082457123907
10,-23.0,8.126135043184144,1.6758264044762543,1.0,0.004973749298393164,969.2742414445836
10,-22.0,7.8404495042631295,1.7572384269680925,1.0,0.005956893908277637,953.3241536317804
10,-21.0,7.420668935947067,1.8211354571260159,1.0,0.0070162597766688425,932.0622413971944
10,-20.0,6.97440972828207,1.8479568488013653,1.0,0.008068155192321987,903.2219171007727
10,-19.0,6.229330921097615,1.8914897387166978,1.0,0.008958514348368965,863.4790177631572
10,-18.0,5.231302942721796,1.8411707052577764,1.0,0.009479687138498439,809.2308357949911
10,-17.0,4.021003861839344,1.6273411337868897,1.0,0.009549665644357568,741.4469326225617
10,-16.0,2.875013668208802,1.469199771585352,0.99,0.009384176495991738,669.4220636184697
10,-15.0,1.920204397701223,1.1885849508918023,0.966,0.009202087076450208,601.1804041400594
10,-14.0,1.2231307122263417,0.9522333239565857,0.892,0.009057519011492113,538.8460598742882
10,-13.0,0.6973093879025659,0.6826893909944457,0.754,0.008946880779623037,482.39374972417255
10,-12.0,0.3655001491099579,0.5101796575332297,0.548,0.008861763114251176,431.4555039772863
10,-11.0,0.16529755466222495,0.3406497944319403,0.322,0.008795818459140433,385.61366799058595
10,-10.0,0.06523362571733216,0.1965243669801911,0.158,0.008744447398927694,344.44287394900164
10,-9.0,0.021934950146642183,0.11588331620204582,0.054,0.008704260044115848,307.52659240906314
10,-8.0,0.005257619666054786,0.05230549445604711,0.012,0.00867271870710573,274.46701911715826
10,-7.0,0.0003427007916450504,0.007655355802604705,0.002,0.008647900122330764,244.8907452925642
10,-6.0,6.677227342046613e-18,6.289433763568531e-17,0.0,0.008628332438547373,218.45158134814798
10,-5.0,3.0568253477344737e-18,3.833527520572097e-17,0.0,0.008612880795667358,194.83148730691238
10,-4.0,1.7794201329948564e-18,1.81072450860057e-17,0.0,0.008600664175200333,173.740273931532
10,-3.0,2.070431281127129e-18,2.907862820849707e-17,0.0,0.00859099589721998,154.91453445037368
10,-2.0,1.8210811753371123e-19,4.067987201229169e-18,0.0,0.008583338522875657,138.1161227515775
10,-1.0,0.0,0.0,0.0,0.008577270129745938,123.13039255599882
10,0.0,0.0,0.0,0.0,0.008572458682263948,109.7643409999296
10,1.0,0.0,0.0,0.0,0.008568642380432732,97.84475045653231
10,2.0,0.0,0.0,0.0,0.008565614488405105,87.2163880269697
10,3.0,0.0,0.0,0.0,0.008563211555239416,77.7402984686264
10,4.0,0.0,0.0,0.0,0.008561304228129379,69.29221021855277
10,5.0,0.0,0.0,0.0,0.008559790059579958,61.76106335689214
10,6.0,0.0,0.0,0.0,0.008558587867035618,55.04766123707953
20,-30.0,16.53264867581748,1.9492276438881189,1.0,0.001142026234517333,1014.1943094993011
20,-29.0,16.481914499879704,1.9686258896665854,1.0,0.0014255187443375991,1011.4684890442235
20,-28.0,16.40022904135454,1.9656407995650982,1.0,0.0017752921140283204,1008.0061842037928
20,-27.0,16.26943620246942,1.9468707549197388,1.0,0.0022043578004448043,1003.5973161417506
20,-26.0,16.12440218529001,1.9672052194545941,1.0,0.002726676252918209,997.9645574871035
20,-25.0,15.954338288308858,2.0010944396365975,1.0,0.0033559914206304836,990.7367514603147
20,-24.0,15.693863241006035,2.0343092764171717,1.0,0.004103527308303818,981.4082457123907
20,-23.0,15.32080090109141,2.0772976817772877,1.0,0.004973749298393164,969.2742414445836
20,-22.0,14.781890451762319,2.099793859021625,1.0,0.005956893908277637,953.3241536317804
20,-21.0,14.088690856673825,2.0907673699696123,1.0,0.0070162597766688425,932.0622413971944
20,-20.0,13.109775561434706,2.111626407340293,1.0,0.008068155192321987,903.2219171007727
20,-19.0,11.815774153972972,2.157813398310761,1.0,0.008958514348368965,863.4790177631572
20,-18.0,10.004130077435228,2.1181345281786417,1.0,0.009479687138498439,809.2308357949911
20,-17.0,7.92446949428972,1.9816489972979718,1.0,0.009549665644357568,741.4469326225617
20,-16.0,5.8583555817309,1.7330731810356268,1.0,0.009384176495991738,669.4220636184697
20,-15.0,4.108023080739661,1.4362743150856365,1.0,0.009202087076450208,601.1804041400594
20,-14.0,2.738210992295621,1.148573125269469,0.996,0.009057519011492113,538.8460598742882
20,-13.0,1.72298519209707,0.855572538600555,0.974,0.008946880779623037,482.39374972417255
20,-12.0,1.0075792832204105,0.5956241457485119,0.934,0.008861763114251176,431.4555039772863
20,-11.0,0.5497242587685104,0.4160157961906501,0.848,0.008795818459140433,385.61366799058595
20,-10.0,0.2578422467722942,0.2650153497500155,0.654,0.008744447398927694,344.44287394900164
20,-9.0,0.09465233491257052,0.15082170267599349,0.388,0.008704260044115848,307.52659240906314
20,-8.0,0.023428733347232618,0.07023298915417797,0.138,0.00867271870710573,274.46701911715826
20,-7.0,0.0025636642067721847,0.021587883389492746,0.016,0.008647900122330764,244.8907452925642
